name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Maribyrnong,2015-03-08,26,14.6,18.9,26,14.6,18.9,13.4,72.3,0,0,0,,0,0,35.6,24.1,190.2,1011,55.3,10,210.1,18.3,7,,2015-03-08T07:11:06,2015-03-08T19:51:02,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-09,23.7,11.5,17.5,23.7,11.5,17.5,11.8,71.4,0,0,0,,0,0,36.4,22.8,217.8,1013.1,54.5,10,200.5,17.4,7,,2015-03-09T07:12:05,2015-03-09T19:49:34,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-10,23.1,14.9,18,23.1,14.9,18,10.4,62.1,0,0,0,,0,0,32.8,22.3,163.9,1016.9,47.6,10,264.2,22.8,9,,2015-03-10T07:13:03,2015-03-10T19:48:05,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-11,25.3,7.3,16.7,25.3,7.3,16.7,9.2,65.6,0,0,0,,0,0,48.2,28,201.5,1015.3,11.3,10,273,23.5,9,,2015-03-11T07:14:01,2015-03-11T19:46:36,0.68,Clear,Clear conditions throughout the day.,clear-day,"95866099999,94864099999"
Maribyrnong,2015-03-12,19.2,10.6,15,19.2,10.6,15,9.2,69.6,0,0,0,,0,0,45.4,27.7,205.7,1019.1,71.1,10,137.5,12.1,5,,2015-03-12T07:14:59,2015-03-12T19:45:07,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,remote,94864099999"
Maribyrnong,2015-03-13,20.5,13.1,16.3,20.5,13.1,16.3,8.1,59.4,0,0,0,,0,0,38.9,24.6,164.7,1021.5,44.5,10,268.9,23.2,9,,2015-03-13T07:15:57,2015-03-13T19:43:37,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-14,30.1,6.1,17.3,28.3,4.9,16.8,8.1,63.6,0.113,100,4.17,rain,0,0,47.9,28.7,312,1014.5,47.7,9.9,250.5,21.7,9,,2015-03-14T07:16:54,2015-03-14T19:42:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-03-15,18.9,13.2,15.5,18.9,13.2,15.5,9.2,67.2,1.567,100,4.17,rain,0,0,42.1,31.7,178.5,1016.3,66,10,228.6,19.8,9,,2015-03-15T07:17:51,2015-03-15T19:40:37,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-03-16,24.6,7.6,17,24.6,7,17,9.3,64.9,0,0,0,,0,0,30.6,27.7,19.4,1013.3,62.4,10,221.1,19,7,,2015-03-16T07:18:48,2015-03-16T19:39:07,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-17,25.1,16.3,21.5,25.1,16.3,21.5,10.2,51,0,0,0,,0,0,70.9,33.8,22.6,1004.5,74.7,10,133.7,11.6,6,,2015-03-17T07:19:45,2015-03-17T19:37:36,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-18,25.1,15.3,20.4,25.1,15.3,20.4,14.1,68.9,0.913,100,4.17,rain,0,0,45,16.6,281,1003.9,65.7,10,143.6,12.5,5,,2015-03-18T07:20:41,2015-03-18T19:36:05,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-03-19,32.9,14.7,21.7,31.8,14.7,21.4,13,61.9,0.433,100,4.17,rain,0,0,69.1,48.2,354.1,1006.1,29.6,10,206.1,17.9,7,,2015-03-19T07:21:37,2015-03-19T19:34:34,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-03-20,20.1,10.2,15.8,20.1,10.2,15.8,7.8,60.8,0,0,0,,0,0,45.7,31.7,203.6,1018.3,28.2,10,188.9,16.3,7,,2015-03-20T07:22:33,2015-03-20T19:33:03,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
